epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,338.145,0.82481,0.53648,1.07862,0.88873,0.81689,0.87797,0.58381,1.31036,0.77905,1.51111,0.000363248,0.000363248,0.000363248
140,340.551,0.80546,0.5163,1.05497,0.88913,0.79205,0.86722,0.58495,1.29513,0.77386,1.50114,0.000361047,0.000361047,0.000361047
141,342.948,0.80918,0.51877,1.06106,0.88097,0.79483,0.88264,0.58993,1.30262,0.76215,1.49942,0.000358846,0.000358846,0.000358846
142,345.335,0.79899,0.51644,1.05503,0.86668,0.80141,0.87802,0.5887,1.29534,0.76124,1.48987,0.000356645,0.000356645,0.000356645
143,347.725,0.81455,0.5265,1.06372,0.89255,0.79583,0.87207,0.59198,1.29868,0.78386,1.49044,0.000354444,0.000354444,0.000354444
144,350.123,0.80821,0.51369,1.05829,0.88926,0.79219,0.87527,0.58842,1.3293,0.80442,1.51563,0.000352243,0.000352243,0.000352243
145,352.529,0.80889,0.51682,1.06122,0.86966,0.82041,0.87576,0.58787,1.30735,0.77867,1.50667,0.000350042,0.000350042,0.000350042
146,354.886,0.79431,0.49902,1.05345,0.85346,0.80152,0.8711,0.58461,1.30826,0.78017,1.51147,0.00034784,0.00034784,0.00034784
147,357.27,0.79193,0.50362,1.05058,0.89976,0.7911,0.87928,0.59139,1.30032,0.77406,1.49884,0.000345639,0.000345639,0.000345639
148,359.657,0.80209,0.51246,1.06004,0.8626,0.80993,0.87887,0.58603,1.30433,0.78241,1.50102,0.000343438,0.000343438,0.000343438
149,362.078,0.80321,0.51249,1.05943,0.8667,0.80587,0.88015,0.58431,1.30948,0.80601,1.51435,0.000341237,0.000341237,0.000341237
150,364.469,0.81414,0.51406,1.07434,0.8657,0.80852,0.87282,0.58936,1.28905,0.77219,1.49847,0.000339036,0.000339036,0.000339036
